ticker,name,ipo_date,ipo_price,shares_offered,offering_size,exchange,underwriter,sector,industry,d1_open,d1_high,d1_low,d1_close,d1_volume,d2_open,d2_high,d2_close,d2_volume,d5_close,ret_d1,ret_d5,is_spac,is_biotech,bookrunner,all_underwriters,d1_open_ret,d1_close_ret,d1_high_ret,d1_intraday_range,d2_close_ret,d5_close_ret,price_tier,is_high_price,size_tier,is_large_offering,is_hot_sector,is_ai,is_fintech,is_ev_clean,has_top_underwriter,ipo_year,ipo_month,ipo_quarter,ipo_weekday,d1_pop,d2_pop,any_d1d2_pop
BEAM,BEAM THERAPEUTICS INC,2020-02-06,17.0,10588200,180000000.0,NASDAQ GS,"JPM,BARCBK,JEFF",Health Care,Biotechnology,24.0,25.260000228881836,18.549999237060547,18.75,5873277,19.190000534057617,21.899999618530273,20.6200008392334,1221500,27.600000381469727,-21.8799991607666,15.0,0,True,"JPM,BARCBK,JEFF",,41.176470588235304,10.294117647058831,48.5882366404814,27.95833746592204,21.294122583725873,62.352943420410156,mid_15_30,False,mid_100M_500M,False,False,False,False,False,False,2020,2,1,3,False,True,True
CSPR,Casper Sleep Inc,2020-02-06,12.0,0,0.0,NYSE,,Consumer Discretionary,Household Durables,14.5,15.850000381469727,13.25,13.5,11455867,13.970000267028809,13.979999542236328,11.050000190734863,5811678,10.390000343322754,-6.900000095367432,-28.34000015258789,0,False,,,20.833333333333325,12.5,32.083336512247726,17.93103711358432,-7.916665077209473,-13.416663805643713,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,2,1,3,False,False,False
PPD,PPD Inc,2020-02-06,27.0,0,0.0,NASDAQ,,Health Care,Life Sciences Tools & Services,31.0,31.559999465942383,29.559999465942383,30.0,25526305,29.75,31.75,30.920000076293945,3574979,32.25,-3.2300000190734863,4.03000020980835,0,False,,,14.814814814814813,11.111111111111116,16.888886910897718,6.451612903225806,14.518518801088675,19.444444444444443,mid_15_30,False,small_under_100M,False,False,False,False,False,False,2020,2,1,3,False,False,False
SDGR,SCHRODINGER INC,2020-02-06,17.0,11882400,202000000.0,NASDAQ GS,"MS,BMT,BofA,JEFF",Health Care,Pharmaceuticals,26.0,31.399999618530273,25.5,28.639999389648438,7624541,30.450000762939453,34.150001525878906,31.920000076293945,3225299,27.1299991607666,10.149999618530273,4.349999904632568,0,False,"MS,BMT,BofA,JEFF",,52.941176470588225,68.47058464499081,84.70588010900161,22.692306225116436,87.76470633114086,59.5882303574506,mid_15_30,False,mid_100M_500M,False,False,False,False,False,True,2020,2,1,3,True,True,True
NREF,NEXPOINT REAL ESTATE FINANCE,2020-02-07,19.0,5000000,95000000.0,New York,"RJA,KBW,RWB",Real Estate,REITs,19.0,19.149999618530273,18.700000762939453,18.799999237060547,1150996,18.799999237060547,19.149999618530273,18.850000381469727,128094,18.959999084472656,-1.0499999523162842,-0.20999999344348907,0,False,"RJA,KBW,RWB",,0.0,-1.052635594418172,0.7894716764751175,2.3684150294253703,-0.7894716764751286,-0.21053113435444137,mid_15_30,False,small_under_100M,False,False,False,False,False,False,2020,2,1,4,False,False,False
ONEW,ONEWATER MARINE INC-CL A,2020-02-07,12.0,4615400,55000000.0,NASDAQ GM,"RJA,RWB,SUNTR",,,15.020000457763672,16.0,14.5,15.140000343322754,1431044,15.0,15.25,14.609999656677246,256617,17.399999618530273,0.800000011920929,15.850000381469727,0,False,"RJA,RWB,SUNTR",,25.16667048136394,26.166669527689624,33.33333333333333,9.986684116408709,21.74999713897705,44.99999682108562,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,2,1,4,True,True,True
ZGYHU,Yunhong International,2020-02-11,10.0,0,0.0,NASDAQ,,,,10.010000228881836,10.010000228881836,9.989999771118164,10.0,1865074,10.0,10.010000228881836,10.010000228881836,203987,10.00529956817627,-0.10000000149011612,-0.05000000074505806,1,False,,,0.10000228881836826,0.0,0.10000228881836826,0.1998047682952553,0.10000228881836826,0.05299568176269087,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,2,1,1,False,False,False
HUIZ,HUIZE HOLDING LTD-ADR,2020-02-12,11.0,5250000,55000000.0,NASDAQ GM,"CITI,CICCHK,TIGBR,VALCAP",Financials,Insurance Agents,10.649999618530273,10.829999923706055,9.600000381469727,10.0,444459,10.350000381469727,10.75,10.5,124598,10.470000267028809,-6.099999904632568,-1.690000057220459,0,False,"CITI,CICCHK,TIGBR,VALCAP",,-3.181821649724792,-9.090909090909093,-1.5454552390358645,11.549291890078688,-4.545454545454541,-4.818179390647193,low_under_15,False,small_under_100M,False,False,False,False,False,True,2020,2,1,2,False,False,False
DUOT,DUOS TECHNOLOGIES GROUP INC,2020-02-13,6.0,1350000,8000000.0,NASDAQ CM,ThinkEquity Partners LLC,Information Technology,Prepackaged Software,6.059999942779541,6.199999809265137,5.960000038146973,6.050000190734863,307431,6.050000190734863,6.099999904632568,5.989999771118164,33887,6.183000087738037,-0.17000000178813934,2.0299999713897705,0,False,ThinkEquity Partners LLC,,0.9999990463256836,0.8333365122477288,3.3333301544189453,3.9603923000712657,-0.1666704813639286,3.050001462300611,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,2,1,3,False,False,False
NBACU,Newborn Acquisition Corp,2020-02-13,10.0,0,0.0,NASDAQ,,,,10.020000457763672,10.050000190734863,10.0,10.050000190734863,795099,10.050000190734863,10.09000015258789,10.09000015258789,102972,10.09000015258789,0.30000001192092896,0.699999988079071,1,False,,,0.2000045776367143,0.5000019073486239,0.5000019073486239,0.499003876752543,0.9000015258789018,0.9000015258789018,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,2,1,3,False,False,False
RVMD,REVOLUTION MEDICINES INC,2020-02-13,17.0,14000000,238000000.0,NASDAQ GS,"JPM,US,GUGG,SVBLEE",Health Care,Biotechnology,28.209999084472656,32.4900016784668,28.0,28.899999618530273,7317175,29.350000381469727,29.649999618530273,28.309999465942383,1234248,31.0,2.450000047683716,9.890000343322754,0,False,"JPM,US,GUGG,SVBLEE",,65.94117108513326,69.99999775606042,91.11765693215763,15.916348189242527,66.52940862319048,82.35294117647058,mid_15_30,False,mid_100M_500M,False,True,False,False,False,False,2020,2,1,3,True,True,True
ESSCU,NWTN Inc,2020-02-20,10.0,0,0.0,NASDAQ,,,,10.050000190734863,10.100000381469727,10.010000228881836,10.010000228881836,4400806,10.029999732971191,10.050000190734863,10.039199829101562,30259,10.020000457763672,-0.4000000059604645,-0.30000001192092896,1,False,,,0.5000019073486239,0.10000228881836826,1.00000381469727,0.8955238893513866,0.3919982910156161,0.2000045776367143,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,2,1,3,False,False,False
ZCMD,ZHONGCHAO INC-CLASS A,2020-02-24,4.0,3000000,12000000.0,NASDAQ CM,"NTWRK1,TIGBR",Consumer Discretionary,Educational Services,4.340000152587891,4.980000019073486,3.530100107192993,4.0,62330,3.799999952316284,4.300000190734863,4.03000020980835,23395,3.9100000858306885,-7.829999923706055,-9.90999984741211,0,False,"NTWRK1,TIGBR",,8.500003814697266,0.0,24.500000476837158,33.40783089640988,0.7500052452087402,-2.249997854232788,low_under_15,False,small_under_100M,False,False,False,False,False,False,2020,2,1,0,False,False,False
